,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
427,427,A,118.47,material_7,material_8,9,5,8,7,2,16.697,8.675,18.106,18.701,11.315,21.384,12.264,16.054,20.473,11.168,15.869,15.944,13.962,15.305,917.863,0
25613,25613,E,135.23,material_7,material_6,6,9,6,4,5,20.429,9.999,15.771,16.275,11.793,17.917,10.74,15.675,17.672,11.098,15.237,18.844,15.744,13.376,319.642,0
24282,24282,E,202.98,material_7,material_6,6,9,4,11,11,17.522,12.319,,19.236,13.148,18.321,8.885,14.781,19.357,12.547,15.051,17.576,14.349,17.181,771.159,1
17281,17281,D,144.07,material_7,material_5,6,6,12,14,9,17.289,9.118,15.921,16.595,13.581,20.884,11.204,15.809,19.118,12.153,16.309,13.481,15.149,18.627,,0
18512,18512,D,129.67,material_7,material_5,6,6,7,5,4,18.101,10.721,17.05,17.845,11.722,19.117,11.261,17.625,18.761,12.826,14.179,,14.724,17.666,741.207,0
24862,24862,E,108.1,material_7,material_6,6,9,5,10,5,18.455,9.373,16.808,17.857,11.792,17.922,12.131,14.288,19.521,11.069,13.877,16.262,14.857,19.584,501.421,1
18698,18698,D,138.43,material_7,material_5,6,6,11,13,6,17.398,10.795,16.466,18.284,11.628,18.246,11.25,14.812,19.661,12.188,16.906,13.348,15.813,15.442,673.116,0
14838,14838,C,92.95,material_7,material_8,5,8,7,8,5,17.625,12.263,16.677,17.058,10.69,19.067,10.159,16.07,18.608,10.063,16.095,16.618,16.766,14.405,588.084,0
18083,18083,D,145.16,material_7,material_5,6,6,5,12,12,17.466,11.295,18.102,17.662,,18.67,11.479,20.262,19.246,14.925,15.693,17.314,13.943,18.732,843.681,0
10730,10730,C,96.14,material_7,material_8,5,8,22,5,11,19.32,12.036,18.353,17.556,11.574,16.92,12.594,15.292,19.202,10.782,13.161,15.737,15.949,16.781,609.519,1
14184,14184,C,99.84,material_7,material_8,5,8,11,5,5,18.129,11.597,17.746,18.948,12.565,18.738,12.256,16.769,20.621,10.028,14.632,16.113,,20.514,782.907,0
21769,21769,E,126.67,material_7,material_6,6,9,11,4,7,18.936,12.559,15.256,17.939,11.043,18.472,11.679,15.168,19.544,10.405,17.609,14.193,14.685,15.667,622.845,1
22607,22607,E,156.61,material_7,material_6,6,9,6,7,14,16.908,10.546,18.672,16.655,12.144,,13.065,17.476,19.902,,15.697,15.73,16.863,15.215,773.995,0
16054,16054,C,145.23,material_7,material_8,5,8,11,11,4,19.979,11.06,17.318,17.592,11.538,18.015,10.695,15.409,17.538,,16.832,16.823,14.416,15.976,586.126,0
19974,19974,D,84.08,material_7,material_5,6,6,8,12,6,17.136,12.15,16.701,17.566,10.574,,11.368,17.278,20.134,,14.391,16.337,14.179,,581.142,0
17816,17816,D,110.06,material_7,material_5,6,6,11,16,1,17.692,10.023,17.253,18.873,11.362,18.573,12.653,21.41,21.028,14.62,15.931,18.009,14.045,18.43,790.805,0
12993,12993,C,136.87,material_7,material_8,5,8,10,13,3,15.103,11.498,18.477,16.247,13.028,19.001,12.164,,17.423,8.495,14.245,12.677,14.434,20.917,841.947,0
25710,25710,E,98.6,material_7,material_6,6,9,10,8,11,17.758,9.774,16.529,17.53,,18.575,9.636,14.418,18.25,11.686,13.906,19.033,16.455,17.9,478.823,0
11498,11498,C,99.21,material_7,material_8,5,8,0,9,4,14.741,12.183,18.094,17.898,9.81,18.905,,14.915,19.198,12.685,15.432,18.366,12.552,16.801,657.819,0
7634,7634,B,204.77,material_5,material_5,8,8,2,10,6,17.652,12.697,16.619,17.283,11.248,,11.92,16.197,20.721,12.119,,14.095,11.671,18.026,696.153,1
13607,13607,C,172.75,material_7,material_8,5,8,14,5,4,17.783,12.718,18.123,17.228,12.541,20.452,12.929,16.201,18.759,10.992,17.196,15.335,14.052,14.524,969.696,0
3131,3131,A,103.7,material_7,material_8,9,5,7,8,4,17.732,13.251,17.148,15.533,11.888,20.288,11.079,15.719,19.245,14.117,,,13.53,15.739,772.973,0
19114,19114,D,94.23,material_7,material_5,6,6,2,20,9,16.387,12.022,17.127,16.593,10.703,18.938,10.244,17.416,18.054,12.62,15.803,17.838,12.506,18.2,525.468,1
10118,10118,B,132.75,material_5,material_5,8,8,6,10,10,17.959,12.28,16.91,19.255,11.076,20.929,11.847,18.015,18.396,12.637,18.027,14.948,16.611,18.981,675.977,0
232,232,A,88.52,material_7,material_8,9,5,16,9,2,17.435,12.07,19.076,17.237,10.879,19.933,,16.295,19.248,13.062,13.304,16.274,14.412,16.747,863.2,0
14633,14633,C,109.38,material_7,material_8,5,8,5,11,5,17.814,11.133,17.497,17.524,12.145,18.568,10.136,16.448,17.931,10.111,15.765,15.88,16.83,15.154,648.918,0
3037,3037,A,137.97,material_7,material_8,9,5,13,6,3,19.986,10.491,17.161,17.095,11.358,18.778,9.793,16.975,19.711,,,17.963,13.723,15.203,645.091,1
15528,15528,C,72.88,material_7,material_8,5,8,9,6,5,15.677,12.624,15.892,16.766,12.847,,12.644,17.071,20.249,13.964,14.329,,16.908,18.562,783.724,0
9891,9891,B,115.59,material_5,material_5,8,8,7,9,8,19.247,10.766,18.318,18.672,9.534,18.952,11.626,14.655,20.316,14.554,15.332,17.313,12.428,15.768,541.121,0
16629,16629,D,126.94,material_7,material_5,6,6,14,11,10,16.411,11.784,18.21,17.481,10.137,19.352,12.46,,19.417,11.28,16.401,18.02,15.651,13.437,675.289,0
20483,20483,D,114.46,material_7,material_5,6,6,7,6,4,18.558,10.995,16.543,19.033,12.179,19.557,10.719,15.226,17.612,11.486,15.924,14.367,15.27,19.062,878.664,0
7825,7825,B,146.24,material_5,material_5,8,8,3,6,6,19.069,10.173,17.964,17.463,13.477,17.516,11.166,11.736,19.787,,17.762,15.913,17.523,17.221,831.917,0
26021,26021,E,174.77,material_7,material_6,6,9,3,14,5,16.237,11.596,16.222,17.681,13.813,21.444,10.679,13.069,22.426,,16.422,15.061,14.901,16.047,807.602,0
17278,17278,D,123.88,material_7,material_5,6,6,5,11,7,18.973,12.308,17.621,16.77,12.975,18.408,10.685,17.998,16.866,15.024,,17.583,11.841,,718.255,1
23332,23332,E,133.41,material_7,material_6,6,9,2,18,0,18.847,12.775,17.516,19.433,10.957,19.074,11.475,15.317,20.07,9.516,16.429,12.887,15.021,15.801,941.307,1
7423,7423,B,203.99,material_5,material_5,8,8,5,3,9,18.336,11.737,17.728,18.397,11.585,19.126,10.384,,17.225,,14.838,15.415,15.333,15.774,693.039,1
23708,23708,E,138.64,material_7,material_6,6,9,6,12,5,17.156,12.472,17.333,16.514,11.683,19.042,10.554,16.661,18.911,11.317,15.52,12.509,14.485,17.273,664.986,0
716,716,A,162.29,material_7,material_8,9,5,11,8,5,17.418,11.005,17.23,18.242,12.149,18.34,10.783,,16.904,13.586,17.282,14.25,13.193,17.829,672.786,1
15982,15982,C,116.08,material_7,material_8,5,8,10,11,9,17.099,10.344,16.994,17.348,11.624,18.982,11.324,15.208,19.995,12.917,15.44,,16.218,17.299,680.41,0
4023,4023,A,137.89,material_7,material_8,9,5,16,2,3,16.516,9.796,17.811,16.976,10.934,19.337,9.667,16.732,19.573,11.714,15.567,15.993,15.162,18.611,702.61,0
9089,9089,B,118.28,material_5,material_5,8,8,3,9,10,18.666,10.321,17.462,17.659,9.893,20.646,12.292,12.501,21.02,,12.745,17.671,15.901,12.915,528.46,1
18629,18629,D,140.78,material_7,material_5,6,6,10,10,7,20.271,10.914,17.604,18.351,13.25,20.124,12.152,17.825,18.553,10.791,17.318,17.309,15.569,16.69,1007.979,0
25990,25990,E,110.92,material_7,material_6,6,9,3,6,8,16.713,11.657,19.141,17.002,10.226,20.176,11.137,16.542,22.093,,14.46,15.563,14.277,16.696,870.309,1
25930,25930,E,117.15,material_7,material_6,6,9,8,12,2,20.719,12.357,16.441,17.314,13.406,18.604,11.465,14.158,22.204,12.485,15.542,16.486,14.106,15.605,646.471,0
5369,5369,B,159.17,material_5,material_5,8,8,2,9,9,17.611,12.715,17.549,16.903,12.16,20.547,11.713,16.037,20.636,13.15,15.451,16.766,,16.374,,0
22078,22078,E,217.66,material_7,material_6,6,9,5,4,6,18.382,12.412,18.299,16.996,12.77,18.185,12.18,16.687,,10.69,16.24,15.015,,14.786,732.834,1
21669,21669,E,116.45,material_7,material_6,6,9,2,15,12,,12.269,16.889,17.621,11.672,17.399,11.411,17.095,22.602,13.283,16.559,16.351,14.98,18.976,605.585,0
17217,17217,D,117.89,material_7,material_5,6,6,10,10,9,17.717,12.944,16.385,17.716,13.798,21.185,11.78,17.636,18.931,11.312,15.609,16.928,16.036,16.158,894.88,0
1741,1741,A,117.58,material_7,material_8,9,5,14,0,1,19.4,10.641,16.87,17.149,14.424,18.478,12.92,17.146,20.812,12.063,,13.572,15.018,16.896,684.891,0
12669,12669,C,134.83,material_7,material_8,5,8,8,8,5,17.96,12.769,15.35,16.323,10.957,19.825,11.96,16.452,17.253,10.042,13.929,14.071,14.453,17.53,659.542,0
21997,21997,E,92.01,material_7,material_6,6,9,0,16,0,17.007,,18.701,17.018,12.686,20.054,10.453,16.895,19.84,11.263,17.2,15.363,16.528,16.387,831.592,0
25438,25438,E,160.83,material_7,material_6,6,9,5,9,7,18.344,10.598,16.457,18.236,12.294,18.914,10.764,17.667,19.633,10.559,16.188,16.496,15.608,19.858,624.746,0
15933,15933,C,97.41,material_7,material_8,5,8,10,7,6,16.049,12.03,17.166,18.053,12.252,18.095,11.942,16.791,17.684,9.607,15.939,,18.056,14.407,663.083,1
3157,3157,A,141.62,material_7,material_8,9,5,7,2,2,18.267,10.738,18.205,17.299,11.205,19.925,10.85,16.079,20.255,,16.907,16.61,15.838,15.254,801.185,0
6884,6884,B,112.89,material_5,material_5,8,8,2,8,8,17.987,13.092,17.566,16.805,12.726,20.162,12.497,17.532,20.543,13.059,13.359,15.494,15.034,14.769,897.131,1
26412,26412,E,59.89,material_7,material_6,6,9,12,5,8,17.534,13.372,16.318,16.436,12.207,19.319,11.621,,20.627,11.03,15.455,15.538,13.957,17.261,686.446,0
12288,12288,C,104.04,material_7,material_8,5,8,13,9,3,20.785,11.711,15.934,16.973,12.43,19.943,10.653,15.025,16.95,13.093,13.179,19.759,17.375,20.092,718.085,0
7342,7342,B,85.46,material_5,material_5,8,8,8,2,10,16.912,12.733,18.695,19.517,11.607,19.964,12.369,16.338,,10.848,13.33,15.152,14.038,12.323,799.895,1
26488,26488,E,94.72,material_7,material_6,6,9,4,7,5,18.151,12.534,15.515,19.274,11.097,18.166,9.159,14.559,18.977,11.563,17.25,17.478,17.608,16.858,668.757,0
24327,24327,E,163.16,material_7,material_6,6,9,4,16,5,16.694,12.272,16.803,19.136,13.664,18.464,10.978,15.601,17.033,11.646,,16.13,16.641,13.233,786.255,0
16868,16868,D,123.36,material_7,material_5,6,6,7,6,2,15.778,11.702,15.993,16.117,13.843,17.555,11.169,17.402,18.876,9.009,15.462,18.097,16.521,13.114,467.29,0
18245,18245,D,131.38,material_7,material_5,6,6,5,13,9,18.01,10.167,15.106,16.131,12.901,19.145,11.541,15.838,19.181,10.585,16.465,17.441,14.033,18.055,512.566,1
13187,13187,C,78.82,material_7,material_8,5,8,11,11,7,18.308,11.564,17.622,,10.897,20.656,10.809,15.843,18.559,10.535,15.893,15.117,15.409,17.126,811.042,0
7902,7902,B,93.08,material_5,material_5,8,8,3,10,10,18.851,12.346,15.472,18.754,10.376,17.271,11.337,16.444,19.835,10.958,15.452,15.272,14.128,,570.961,0
19985,19985,D,110.59,material_7,material_5,6,6,7,18,3,17.882,13.47,16.343,20.465,11.304,,11.008,17.058,21.565,13.507,17.258,15.061,14.247,17.183,858.238,0
8216,8216,B,114.63,material_5,material_5,8,8,7,4,12,17.031,11.646,,17.91,12.393,20.767,10.157,19.938,18.58,10.528,12.998,17.321,16.25,13.35,,0
10051,10051,B,234.66,material_5,material_5,8,8,6,8,5,16.193,9.484,18.951,16.985,12.533,18.523,10.567,14.771,17.691,11.124,13.293,16.372,15.164,12.989,683.28,0
24803,24803,E,112.24,material_7,material_6,6,9,7,5,9,,12.616,16.539,16.183,12.317,16.027,11.9,17.136,19.316,9.841,16.284,15.356,14.982,16.988,400.422,0
3883,3883,A,125.84,material_7,material_8,9,5,18,1,1,19.621,11.723,16.958,16.642,11.543,20.134,12.173,15.453,16.717,12.097,14.913,15.249,16.348,16.457,748.613,0
4412,4412,A,182.55,material_7,material_8,9,5,14,4,5,18.084,11.869,16.223,18.134,12.118,19.989,12.724,16.092,15.179,10.105,14.901,15.063,17.147,14.518,750.345,0
2314,2314,A,102.81,material_7,material_8,9,5,13,2,3,17.406,10.676,18.321,15.354,10.367,19.646,12.416,16.462,18.618,13.751,15.443,17.444,13.943,17.394,712.188,0
12834,12834,C,108.62,material_7,material_8,5,8,9,7,12,17.92,10.65,15.958,16.985,11.766,19.461,11.446,16.886,18.846,9.442,15.37,14.179,15.471,17.744,678.287,0
10315,10315,B,92.85,material_5,material_5,8,8,14,6,7,17.148,12.659,15.946,17.286,12.37,18.366,11.577,14.729,18.694,11.987,16.171,13.912,14.085,16.344,750.495,0
23596,23596,E,107.04,material_7,material_6,6,9,2,21,1,18.128,11.764,15.957,15.998,10.838,21.214,10.366,15.01,18.358,,15.654,15.186,16.032,17.021,647.467,1
7412,7412,B,137.6,material_5,material_5,8,8,3,9,6,17.841,12.281,16.259,15.697,13.39,18.834,12.061,16.123,,14.181,16.121,,13.591,18.48,859.161,0
20430,20430,D,129.61,material_7,material_5,6,6,10,7,3,19.207,12.35,17.566,19.53,10.88,19.45,10.638,17.484,18.902,10.232,15.185,17.68,16.919,15.364,936.53,0
17983,17983,D,138.17,material_7,material_5,6,6,12,4,4,18.023,12.439,16.103,15.963,10.012,18.679,11.631,14.804,19.953,11.47,16.115,14.812,13.9,18.125,393.978,0
15942,15942,C,192.92,material_7,material_8,5,8,0,9,1,18.459,9.61,16.235,18.184,10.991,18.379,,14.03,19.573,,16.132,14.651,14.185,15.647,603.581,1
23837,23837,E,182.75,material_7,material_6,6,9,5,6,4,17.599,11.733,18.437,18.097,12.146,19.009,12.025,16.127,19.653,11.374,16.313,14.466,15.787,16.091,845.068,0
4833,4833,A,173.24,material_7,material_8,9,5,4,16,6,17.698,12.062,17.112,17.098,10.502,18.63,11.263,16.819,15.58,,16.637,17.124,14.565,17.093,632.72,1
20019,20019,D,123.66,material_7,material_5,6,6,11,7,7,17.281,11.281,17.552,18.522,11.92,20.464,11.405,17.216,19.146,11.255,14.826,16.368,13.521,15.017,902.694,0
13418,13418,C,115.87,material_7,material_8,5,8,3,6,2,17.855,12.526,15.903,17.48,11.666,21.25,12.011,16.662,,11.539,15.346,15.137,,15.551,858.691,0
9450,9450,B,60.42,material_5,material_5,8,8,4,5,7,,11.713,17.54,18.175,10.295,19.049,11.585,14.876,21.374,11.149,13.307,14.454,11.769,18.616,573.472,0
3424,3424,A,128.87,material_7,material_8,9,5,3,4,1,17.584,10.375,16.414,18.354,12.616,21.185,12.013,16.78,17.386,12.223,15.391,14.991,14.078,13.723,850.618,0
21721,21721,E,97.52,material_7,material_6,6,9,4,11,5,17.407,12.388,16.703,16.913,10.777,19.701,11.659,17.329,20.249,10.306,14.983,16.13,13.834,15.845,719.607,0
9617,9617,B,180.55,material_5,material_5,8,8,10,7,5,17.502,11.911,15.461,17.043,10.15,18.864,11.773,,21.562,11.417,,16.774,16.581,14.469,517.279,0
5947,5947,B,113.26,material_5,material_5,8,8,9,15,6,16.389,11.578,18.46,17.633,11.901,20.984,11.413,16.414,16.992,12.955,15.239,15.014,15.261,,730.327,1
26210,26210,E,158.9,material_7,material_6,6,9,4,20,5,15.639,10.998,18.866,18.297,11.495,18.599,11.918,13.617,17.444,13.929,16.114,16.107,16.562,,812.403,1
15257,15257,C,120.79,material_7,material_8,5,8,9,9,6,18.842,12.403,17.0,17.375,11.659,18.917,11.003,16.232,19.725,12.525,16.611,14.366,15.538,16.469,665.182,1
21713,21713,E,82.02,material_7,material_6,6,9,12,7,1,17.939,11.145,17.35,17.533,,19.229,10.388,13.967,18.105,10.858,16.709,17.195,16.502,17.055,677.409,0
8209,8209,B,84.7,material_5,material_5,8,8,6,14,12,19.331,11.073,18.063,17.672,12.9,19.369,11.342,14.489,,11.803,14.582,15.244,14.254,15.461,834.531,0
797,797,A,155.18,material_7,material_8,9,5,12,2,7,17.462,11.461,17.028,15.137,10.827,17.447,11.977,,19.333,13.086,14.744,17.26,12.633,15.338,482.201,0
1883,1883,A,161.63,material_7,material_8,9,5,10,9,10,18.79,11.081,16.015,16.045,10.584,19.252,10.594,18.239,20.568,13.236,16.306,18.215,12.481,13.186,573.655,0
1198,1198,A,155.51,material_7,material_8,9,5,10,3,4,16.757,11.772,16.497,18.403,10.828,20.214,11.126,15.487,20.429,10.512,16.856,17.206,13.9,14.826,756.406,0
18754,18754,D,144.34,material_7,material_5,6,6,12,16,5,17.24,12.412,17.607,18.265,12.12,19.379,9.789,18.814,19.111,12.74,14.208,18.499,14.657,17.665,828.17,1
2793,2793,A,169.62,material_7,material_8,9,5,5,1,12,16.549,11.909,16.689,16.911,10.586,19.933,10.795,18.161,20.35,9.659,15.838,17.405,14.2,13.513,,1
20311,20311,D,99.11,material_7,material_5,6,6,8,6,11,19.221,10.797,18.849,19.128,12.078,19.42,10.029,16.257,18.943,11.016,14.395,13.796,15.85,16.428,1036.834,0
17728,17728,D,85.31,material_7,material_5,6,6,4,3,5,16.402,9.53,17.615,16.13,12.634,18.743,11.129,15.806,19.73,11.691,16.59,,15.279,,596.974,0
7126,7126,B,184.31,material_5,material_5,8,8,7,4,7,17.051,10.637,18.964,15.712,12.661,19.148,9.676,15.689,15.248,,16.296,16.872,14.476,16.016,738.615,0
21687,21687,E,89.28,material_7,material_6,6,9,13,14,3,18.634,9.533,17.284,17.142,12.081,19.085,10.863,17.811,20.993,9.985,13.591,16.767,16.069,12.534,547.553,0
13765,13765,C,113.79,material_7,material_8,5,8,16,11,15,17.302,12.035,16.973,16.436,10.645,19.055,11.256,15.662,20.112,,16.989,14.032,15.535,16.858,636.67,0
8261,8261,B,95.55,material_5,material_5,8,8,1,1,11,,11.908,17.367,16.928,12.15,18.32,12.084,15.42,17.335,12.746,17.643,16.725,,18.2,775.168,0
4355,4355,A,78.95,material_7,material_8,9,5,8,5,4,15.72,10.284,17.673,16.938,12.463,18.32,12.76,15.128,,14.916,14.899,14.214,12.307,15.066,661.065,0
23680,23680,E,99.19,material_7,material_6,6,9,8,7,7,17.01,10.632,16.22,16.545,11.303,20.112,11.718,15.033,,12.095,16.027,16.265,14.062,15.284,586.996,0
1420,1420,A,148.84,material_7,material_8,9,5,16,2,2,18.547,11.273,18.365,17.54,11.855,18.943,12.279,14.494,20.476,13.057,13.662,16.295,16.033,17.433,764.818,1
5205,5205,B,137.05,material_5,material_5,8,8,3,5,12,17.917,11.595,17.286,16.076,12.493,19.332,10.296,17.624,,12.395,17.038,,,15.447,739.726,0
1234,1234,A,96.27,material_7,material_8,9,5,15,1,5,19.161,10.422,17.435,17.64,11.007,20.658,12.382,15.743,18.387,10.722,15.565,17.108,15.75,20.265,,0
18499,18499,D,85.93,material_7,material_5,6,6,8,9,5,17.088,10.698,16.939,17.5,12.569,17.481,10.919,17.09,20.547,10.639,16.524,16.64,14.721,16.065,623.637,1
9255,9255,B,201.83,material_5,material_5,8,8,7,2,4,17.82,11.619,15.591,17.676,11.368,19.515,12.072,14.829,17.356,10.946,16.299,15.969,13.153,17.026,629.863,0
18451,18451,D,114.56,material_7,material_5,6,6,8,7,12,16.426,12.712,17.351,17.859,,19.054,,15.089,19.77,10.823,15.85,15.579,13.111,,828.892,1
2328,2328,A,83.5,material_7,material_8,9,5,10,3,10,15.894,11.157,16.071,19.224,11.96,18.032,13.319,15.003,19.898,11.41,15.282,13.844,14.844,17.383,,1
18069,18069,D,139.41,material_7,material_5,6,6,4,7,10,16.956,10.464,17.83,16.926,12.346,18.554,11.506,14.605,18.649,,14.565,16.927,12.964,15.452,673.409,0
20663,20663,D,150.46,material_7,material_5,6,6,8,15,7,15.804,11.896,16.796,16.106,11.237,17.717,11.551,17.007,19.971,12.393,14.304,14.604,13.992,,,0
4233,4233,A,165.2,material_7,material_8,9,5,6,4,11,19.034,11.85,15.906,17.406,10.612,18.576,12.108,14.341,18.636,13.779,14.145,13.969,13.548,16.08,564.256,1
684,684,A,225.55,material_7,material_8,9,5,3,1,7,19.249,12.702,16.884,16.523,10.772,18.455,11.775,14.234,,9.632,16.343,14.541,14.847,17.731,605.996,1
21409,21409,E,211.85,material_7,material_6,6,9,4,6,8,17.42,12.914,18.942,17.164,10.728,19.16,9.974,13.649,16.579,10.36,14.027,15.132,14.228,16.987,845.255,1
23689,23689,E,183.66,material_7,material_6,6,9,6,8,8,18.834,12.011,17.535,18.423,10.759,18.741,9.257,17.923,21.531,12.249,17.238,,14.288,20.168,751.316,0
5794,5794,B,209.61,material_5,material_5,8,8,1,5,5,17.405,12.665,16.308,17.773,12.667,18.336,10.704,17.899,20.066,12.34,14.749,14.665,13.392,14.83,770.038,0
8953,8953,B,135.61,material_5,material_5,8,8,5,8,7,17.194,11.57,17.751,16.464,10.559,19.065,10.355,17.009,23.127,9.888,,15.895,14.333,19.777,574.752,0
8988,8988,B,112.36,material_5,material_5,8,8,2,9,3,19.431,9.281,17.613,18.508,11.484,21.073,10.923,15.641,20.764,13.543,14.759,16.736,13.139,19.721,605.531,0
10780,10780,C,117.54,material_7,material_8,5,8,10,8,3,18.011,10.839,16.398,16.93,11.848,18.984,11.842,16.518,19.945,13.007,15.027,15.769,15.295,13.862,675.381,0
437,437,A,164.41,material_7,material_8,9,5,14,4,4,18.145,13.627,17.653,15.77,11.605,18.64,10.926,17.388,18.591,12.194,14.468,,14.203,16.093,680.039,0
22485,22485,E,135.39,material_7,material_6,6,9,7,15,4,17.753,11.512,16.735,16.063,12.96,18.537,12.005,14.627,20.511,11.168,15.629,16.992,15.184,15.446,526.724,0
15926,15926,C,131.82,material_7,material_8,5,8,14,6,8,19.107,11.391,17.268,16.384,13.254,18.676,11.672,15.999,17.055,11.48,14.844,12.627,16.809,17.783,741.987,0
6431,6431,B,163.57,material_5,material_5,8,8,8,7,4,18.869,11.166,16.515,16.57,11.325,19.228,12.492,16.719,20.334,12.591,15.039,15.847,13.476,15.642,668.462,0
8625,8625,B,148.35,material_5,material_5,8,8,6,12,7,16.408,11.941,17.553,19.795,12.343,20.821,10.686,15.513,15.626,12.492,16.946,,12.399,18.356,733.919,0
1292,1292,A,87.36,material_7,material_8,9,5,6,2,5,17.203,11.527,17.327,17.609,11.379,17.997,10.624,18.023,21.607,11.624,13.16,,13.014,16.068,623.588,0
22381,22381,E,154.56,material_7,material_6,6,9,2,10,2,15.705,9.735,17.179,18.054,12.78,18.489,11.263,15.707,21.529,13.686,15.157,14.831,15.029,18.357,586.242,0
7855,7855,B,142.28,material_5,material_5,8,8,6,13,9,17.919,12.655,18.78,16.712,11.793,18.055,10.668,17.406,19.87,14.075,16.41,17.382,14.726,18.331,788.461,0
24607,24607,E,161.18,material_7,material_6,6,9,10,7,12,18.82,14.287,17.895,15.838,11.182,,12.287,13.531,19.971,12.124,16.241,16.628,13.849,19.073,817.237,0
591,591,A,142.06,material_7,material_8,9,5,4,12,9,17.748,12.698,16.726,20.262,11.057,17.797,13.32,14.845,23.347,14.335,16.627,14.228,16.574,17.531,653.106,0
5137,5137,B,175.28,material_5,material_5,8,8,4,10,9,16.237,10.957,16.292,16.298,11.325,19.389,10.766,16.414,17.036,9.751,16.967,15.921,16.202,15.557,556.174,0
14780,14780,C,167.57,material_7,material_8,5,8,7,12,6,18.557,12.622,18.983,19.683,14.029,18.417,11.434,15.074,,12.672,16.678,,13.941,14.989,854.901,0
10584,10584,C,142.14,material_7,material_8,5,8,10,8,8,16.366,13.495,18.088,17.922,11.074,19.843,10.864,16.169,17.565,12.591,14.851,14.067,16.9,17.699,781.068,0
14805,14805,C,81.0,material_7,material_8,5,8,8,6,6,18.36,12.045,17.272,19.494,,19.623,12.077,15.464,18.085,9.881,16.04,16.65,17.176,16.47,794.107,0
1340,1340,A,116.12,material_7,material_8,9,5,17,8,5,17.376,12.306,15.957,16.26,10.955,19.271,12.36,16.951,20.558,11.943,,17.106,,17.071,606.477,0
22807,22807,E,102.53,material_7,material_6,6,9,12,16,2,17.515,10.108,14.556,18.383,10.867,20.779,11.736,,19.596,11.927,16.01,14.818,14.056,15.054,636.119,0
10715,10715,C,118.74,material_7,material_8,5,8,10,8,5,16.198,11.867,17.439,17.702,11.3,19.436,11.338,16.949,19.556,11.608,14.405,16.036,16.226,17.359,735.394,0
21978,21978,E,99.44,material_7,material_6,6,9,6,5,2,17.964,11.96,16.143,16.839,14.161,18.132,10.223,13.781,19.432,11.726,15.884,18.121,15.139,18.084,507.825,0
23808,23808,E,104.17,material_7,material_6,6,9,2,14,1,16.327,11.009,16.452,17.766,10.654,18.972,11.715,17.426,20.259,10.869,14.982,15.143,15.642,15.024,635.083,1
15608,15608,C,196.37,material_7,material_8,5,8,5,5,4,18.266,12.25,18.486,,10.862,19.124,10.591,16.678,19.07,11.47,14.584,14.983,15.422,14.613,718.56,0
23919,23919,E,143.78,material_7,material_6,6,9,5,7,8,16.618,11.263,16.733,17.969,11.207,18.844,12.052,17.503,20.298,11.777,14.189,15.474,14.577,14.751,,0
13248,13248,C,152.62,material_7,material_8,5,8,17,7,7,18.207,10.9,18.164,18.568,11.628,18.589,11.046,15.338,17.267,12.245,16.101,20.139,16.779,13.706,704.754,0
9001,9001,B,104.91,material_5,material_5,8,8,6,11,9,18.454,12.037,16.861,19.302,12.277,18.708,14.439,17.683,15.763,12.006,18.669,16.145,14.916,14.341,847.266,0
19619,19619,D,122.61,material_7,material_5,6,6,13,13,10,15.563,11.727,16.188,19.249,13.835,18.963,10.252,18.346,19.49,12.632,14.956,17.97,14.3,17.214,847.022,0
4979,4979,A,86.02,material_7,material_8,9,5,7,3,6,19.563,12.861,15.541,,10.8,19.737,13.627,15.411,20.77,12.046,15.752,15.15,,17.087,660.839,1
4888,4888,A,107.29,material_7,material_8,9,5,15,7,4,16.725,12.074,17.205,,12.782,21.123,11.863,15.863,20.144,11.727,14.251,16.802,13.22,16.042,903.168,1
1473,1473,A,106.97,material_7,material_8,9,5,12,4,8,17.897,10.913,,15.554,12.811,17.425,9.466,16.251,21.975,12.109,15.573,17.991,12.203,16.864,490.276,0
16505,16505,D,182.26,material_7,material_5,6,6,11,9,7,18.975,10.219,16.47,18.386,12.397,19.518,12.186,18.781,19.106,13.512,15.556,17.508,15.172,18.872,831.044,1
20302,20302,D,77.68,material_7,material_5,6,6,8,12,10,17.721,11.433,16.342,17.481,9.819,19.14,10.436,17.906,18.882,13.169,15.112,18.112,13.72,17.25,561.4,0
14123,14123,C,70.57,material_7,material_8,5,8,6,13,5,17.368,11.567,18.728,17.102,11.728,17.555,11.357,14.434,18.541,9.113,15.778,13.609,,17.166,646.267,0
17307,17307,D,,material_7,material_5,6,6,7,9,3,16.705,11.823,17.573,17.805,12.112,17.807,10.693,15.683,18.792,11.029,15.31,14.218,13.848,17.897,679.03,1
8215,8215,B,165.13,material_5,material_5,8,8,1,10,11,16.983,11.574,16.69,15.701,11.117,20.685,12.272,14.303,19.352,13.82,14.915,16.377,12.943,17.018,634.086,0
19587,19587,D,74.43,material_7,material_5,6,6,15,5,7,17.58,11.412,16.391,16.175,9.466,18.78,12.424,15.053,19.921,11.743,16.251,12.372,15.099,15.961,399.596,0
